Timestamp,ID,X,Y,Z,Dist_From_Center
01:45:39.521,drone_1,-4000.0000,-4000.0000,150.0000,5658.8426
01:45:39.571,drone_1,-3995.0000,-3995.0000,150.0000,5651.7741
01:45:39.621,drone_1,-3990.0000,-3990.0000,150.0000,5644.7055
01:45:39.671,drone_1,-3985.0000,-3985.0000,150.0000,5637.6369
01:45:39.722,drone_1,-3980.0000,-3980.0000,150.0000,5630.5684
01:45:39.772,drone_1,-3975.0000,-3975.0000,150.0000,5623.4998
01:45:39.822,drone_1,-3970.0000,-3970.0000,150.0000,5616.4313
01:45:39.872,drone_1,-3965.0000,-3965.0000,150.0000,5609.3627
01:45:39.922,drone_1,-3960.0000,-3960.0000,150.0000,5602.2942
01:45:39.972,drone_1,-3955.0000,-3955.0000,150.0000,5595.2256
01:45:40.023,drone_1,-3950.0000,-3950.0000,150.0000,5588.1571
01:45:40.073,drone_1,-3945.0000,-3945.0000,150.0000,5581.0886
01:45:40.123,drone_1,-3940.0000,-3940.0000,150.0000,5574.0201
01:45:40.173,drone_1,-3935.0000,-3935.0000,150.0000,5566.9516
01:45:40.224,drone_1,-3930.0000,-3930.0000,150.0000,5559.8831
01:45:40.274,drone_1,-3925.0000,-3925.0000,150.0000,5552.8146
01:45:40.324,drone_1,-3920.0000,-3920.0000,150.0000,5545.7461
01:45:40.374,drone_1,-3915.0000,-3915.0000,150.0000,5538.6776
01:45:40.424,drone_1,-3910.0000,-3910.0000,150.0000,5531.6092
01:45:40.475,drone_1,-3905.0000,-3905.0000,150.0000,5524.5407
01:45:40.525,drone_1,-3900.0000,-3900.0000,150.0000,5517.4722
01:45:40.575,drone_1,-3895.0000,-3895.0000,150.0000,5510.4038
01:45:40.625,drone_1,-3890.0000,-3890.0000,150.0000,5503.3354
01:45:40.675,drone_1,-3885.0000,-3885.0000,150.0000,5496.2669
01:45:40.726,drone_1,-3880.0000,-3880.0000,150.0000,5489.1985
01:45:40.776,drone_1,-3875.0000,-3875.0000,150.0000,5482.1301
01:45:40.826,drone_1,-3870.0000,-3870.0000,150.0000,5475.0616
01:45:40.876,drone_1,-3865.0000,-3865.0000,150.0000,5467.9932
01:45:40.926,drone_1,-3860.0000,-3860.0000,150.0000,5460.9248
01:45:40.977,drone_1,-3855.0000,-3855.0000,150.0000,5453.8564
01:45:41.027,drone_1,-3850.0000,-3850.0000,150.0000,5446.7880
01:45:41.077,drone_1,-3845.0000,-3845.0000,150.0000,5439.7197
01:45:41.127,drone_1,-3840.0000,-3840.0000,150.0000,5432.6513
01:45:41.177,drone_1,-3835.0000,-3835.0000,150.0000,5425.5829
01:45:41.228,drone_1,-3830.0000,-3830.0000,150.0000,5418.5146
01:45:41.278,drone_1,-3825.0000,-3825.0000,150.0000,5411.4462
01:45:41.328,drone_1,-3820.0000,-3820.0000,150.0000,5404.3779
01:45:41.378,drone_1,-3815.0000,-3815.0000,150.0000,5397.3095
01:45:41.429,drone_1,-3810.0000,-3810.0000,150.0000,5390.2412
01:45:41.479,drone_1,-3805.0000,-3805.0000,150.0000,5383.1729
01:45:41.529,drone_1,-3800.0000,-3800.0000,150.0000,5376.1045
01:45:41.580,drone_1,-3795.0000,-3795.0000,150.0000,5369.0362
01:45:41.630,drone_1,-3790.0000,-3790.0000,150.0000,5361.9679
01:45:41.680,drone_1,-3785.0000,-3785.0000,150.0000,5354.8996
01:45:41.730,drone_1,-3780.0000,-3780.0000,150.0000,5347.8313
01:45:41.781,drone_1,-3775.0000,-3775.0000,150.0000,5340.7631
01:45:41.831,drone_1,-3770.0000,-3770.0000,150.0000,5333.6948
01:45:41.881,drone_1,-3765.0000,-3765.0000,150.0000,5326.6265
01:45:41.932,drone_1,-3760.0000,-3760.0000,150.0000,5319.5583
01:45:41.982,drone_1,-3755.0000,-3755.0000,150.0000,5312.4900
01:45:42.032,drone_1,-3750.0000,-3750.0000,150.0000,5305.4218
01:45:42.082,drone_1,-3745.0000,-3745.0000,150.0000,5298.3535
01:45:42.132,drone_1,-3740.0000,-3740.0000,150.0000,5291.2853
01:45:42.182,drone_1,-3735.0000,-3735.0000,150.0000,5284.2171
01:45:42.233,drone_1,-3730.0000,-3730.0000,150.0000,5277.1489
01:45:42.283,drone_1,-3725.0000,-3725.0000,150.0000,5270.0806
01:45:42.333,drone_1,-3720.0000,-3720.0000,150.0000,5263.0124
01:45:42.383,drone_1,-3715.0000,-3715.0000,150.0000,5255.9443
01:45:42.434,drone_1,-3710.0000,-3710.0000,150.0000,5248.8761
01:45:42.484,drone_1,-3705.0000,-3705.0000,150.0000,5241.8079
01:45:42.534,drone_1,-3700.0000,-3700.0000,150.0000,5234.7397
01:45:42.584,drone_1,-3695.0000,-3695.0000,150.0000,5227.6716
01:45:42.635,drone_1,-3690.0000,-3690.0000,150.0000,5220.6034
01:45:42.685,drone_1,-3685.0000,-3685.0000,150.0000,5213.5353
01:45:42.735,drone_1,-3680.0000,-3680.0000,150.0000,5206.4671
01:45:42.786,drone_1,-3675.0000,-3675.0000,150.0000,5199.3990
01:45:42.836,drone_1,-3670.0000,-3670.0000,150.0000,5192.3309
01:45:42.886,drone_1,-3665.0000,-3665.0000,150.0000,5185.2628
01:45:42.936,drone_1,-3660.0000,-3660.0000,150.0000,5178.1947
01:45:42.986,drone_1,-3655.0000,-3655.0000,150.0000,5171.1266
01:45:43.036,drone_1,-3650.0000,-3650.0000,150.0000,5164.0585
01:45:43.087,drone_1,-3645.0000,-3645.0000,150.0000,5156.9904
01:45:43.137,drone_1,-3640.0000,-3640.0000,150.0000,5149.9223
01:45:43.187,drone_1,-3635.0000,-3635.0000,150.0000,5142.8543
01:45:43.238,drone_1,-3630.0000,-3630.0000,150.0000,5135.7862
01:45:43.288,drone_1,-3625.0000,-3625.0000,150.0000,5128.7182
01:45:43.338,drone_1,-3620.0000,-3620.0000,150.0000,5121.6501
01:45:43.388,drone_1,-3615.0000,-3615.0000,150.0000,5114.5821
01:45:43.439,drone_1,-3610.0000,-3610.0000,150.0000,5107.5141
01:45:43.489,drone_1,-3605.0000,-3605.0000,150.0000,5100.4461
01:45:43.539,drone_1,-3600.0000,-3600.0000,150.0000,5093.3781
01:45:43.589,drone_1,-3595.0000,-3595.0000,150.0000,5086.3101
01:45:43.639,drone_1,-3590.0000,-3590.0000,150.0000,5079.2421
01:45:43.689,drone_1,-3585.0000,-3585.0000,150.0000,5072.1741
01:45:43.739,drone_1,-3580.0000,-3580.0000,150.0000,5065.1061
01:45:43.790,drone_1,-3575.0000,-3575.0000,150.0000,5058.0382
01:45:43.840,drone_1,-3570.0000,-3570.0000,150.0000,5050.9702
01:45:43.890,drone_1,-3565.0000,-3565.0000,150.0000,5043.9023
01:45:43.940,drone_1,-3560.0000,-3560.0000,150.0000,5036.8343
01:45:43.990,drone_1,-3555.0000,-3555.0000,150.0000,5029.7664
01:45:44.040,drone_1,-3550.0000,-3550.0000,150.0000,5022.6985
01:45:44.090,drone_1,-3545.0000,-3545.0000,150.0000,5015.6306
01:45:44.141,drone_1,-3540.0000,-3540.0000,150.0000,5008.5627
01:45:44.191,drone_1,-3535.0000,-3535.0000,150.0000,5001.4948
01:45:44.241,drone_1,-3530.0000,-3530.0000,150.0000,4994.4269
01:45:44.291,drone_1,-3525.0000,-3525.0000,150.0000,4987.3590
01:45:44.341,drone_1,-3520.0000,-3520.0000,150.0000,4980.2912
01:45:44.391,drone_1,-3515.0000,-3515.0000,150.0000,4973.2233
01:45:44.442,drone_1,-3510.0000,-3510.0000,150.0000,4966.1555
